Id,Habitability_score
0x8c47,61.97
0x2890,73.37
0x1135,74.61
0x68b4,71.99
0x5da6,80.59
0x4079,41.52
0x87cf,82.4
0x4388,79.98
0x4740,76.91
0x1ca1,82.83
0x5224,87.79
0x2bc2,79.09
0x87f3,80.73
0xa37f,75.45
0x5548,77.59
0x8da3,53.3
0xaa8c,82.0
0xadbf,73.48
0x1dbe,87.51
0xb4a0,84.7
0x1b63,75.22
0x8a53,77.34
0x21fd,67.44
0xcc6,88.42
0x92d8,78.3
0x2beb,42.99
0x8799,83.35
0x6b5d,84.29
0x6b72,80.35
0x91d7,82.42
0x1809,73.61
0x6357,77.17
0x39e7,91.67
0x72c3,75.92
0x1cbb,83.47
0x3948,77.71
0x67a4,79.23
0x5adc,84.18
0x7be1,81.52
0x632a,68.76
0xa690,47.26
0x8abe,77.35
0xa806,25.84
0x6684,76.02
0x32e8,69.13
0x9683,89.78
0xbb09,80.47
0xa635,81.55
0xba1c,76.03
0xc20,58.52
0x8818,87.88
0x718a,77.09
0xc378,48.07
0x76c8,75.37
0x4ba3,65.94
0xc1d2,79.79
0xb7c8,70.71
0xa2a7,86.55
0xac08,86.95
0x5135,85.26
0xc52c,76.29
0x7089,69.76
0x84c6,82.7
0x75f7,33.17
0x80d0,80.83
0x2974,80.83
0x79b7,76.8
0xb74c,76.23
0x4584,74.83
0x31cc,84.43
0xb3da,60.45
0x1915,78.25
0x4380,87.49
0x1bbd,82.11
0xa1d,90.84
0x60b9,84.15
0x88da,66.38
0x9c4a,79.55
0x8019,77.03
0xa0cd,79.87
0x2a7b,61.86
0x48c3,76.07
0xa0fb,77.18
0x9201,62.12
0x8594,80.95
0x4d56,58.54
0x9b25,46.7
0x5ef2,74.79
0x4e25,70.83
0x858a,68.42
0x6b0e,75.73
0x31f9,81.71
0x382f,76.32
0x4a0b,74.88
0x76d,71.39
0xad16,77.96
0xa901,76.87
0x1c22,75.9
0x2cbb,76.73
0x6b01,28.91
0xbf9,74.72
0xc71c,73.95
0xc8f2,81.48
0x776f,23.28
0x4b6b,77.39
0xd85,74.83
0xb422,77.55
0x958e,75.32
0x3636,38.09
0x3743,78.1
0x1744,83.4
0x84a7,82.76
0xbafc,77.07
0x56ad,39.57
0x4736,81.7
0x6d93,79.49
0x7a03,77.87
0x3ae6,70.2
0xa564,73.27
0xc1c2,75.82
0x172d,70.14
0xa536,76.27
0xa39b,90.51
0x6bf8,77.04
0xbe8a,70.79
0x6d48,71.9
0x1865,63.61
0x3a36,83.02
0xb20d,80.94
0x9c66,79.24
0xbec3,71.6
0xb2f6,89.77
0x3ed1,73.67
0xa239,37.29
0x3ac0,75.82
0x83be,53.72
0x3584,76.9
0x2ad4,83.62
0x7439,46.44
0x415b,77.68
0x60e4,78.08
0x1b6b,76.01
0x9e2b,57.79
0xe00,62.63
0x1452,88.06
0xb7c,82.55
0x7cf3,92.45
0x3c96,36.27
0x4bbc,80.34
0x1812,76.65
0xabfc,58.09
0x29eb,84.58
0x86b0,30.37
0x802c,80.96
0xb7d6,80.58
0x29cc,33.28
0xaff9,82.92
0x3d60,67.01
0x3c64,66.73
0x6cc3,56.37
0x7882,80.84
0xc238,90.04
0x8cb1,88.35
0x5781,67.02
0x45ed,79.01
0xaf67,75.12
0xbb7e,77.69
0x5a3c,73.88
0xbcee,81.6
0x1b76,84.62
0x7a72,77.25
0x8759,82.92
0x10df,61.01
0xeb6,89.56
0xc240,45.57
0x902a,80.63
0xb4c9,81.24
0x1173,82.69
0x63af,80.24
0x9233,38.57
0xab0a,72.21
0xaa94,70.12
0x8535,33.57
0x9442,40.53
0x3b90,66.75
0x27a8,73.28
0xec0,81.07
0x8084,69.26
0x6a91,73.43
0x7aa6,80.92
0x62c3,85.32
0x390e,67.12
0xf5f,75.53
0x9229,75.76
0x615,73.58
0x2ac9,98.47
0x2d84,65.93
0xacd8,22.69
0x9397,74.2
0x1cd7,75.18
0x102e,67.58
0x4745,80.68
0x3916,81.77
0x9f8e,76.19
0x4ee5,80.46
0x644d,81.39
0x5f8e,83.7
0xc8ed,89.85
0x61d5,80.67
0x9abb,78.86
0xaa6a,78.52
0x6425,73.98
0x73a8,77.13
0x928d,79.62
0x53f7,69.69
0x75a6,62.02
0x358b,79.5
0x4811,70.72
0x4ae1,77.99
0x6b75,58.34
0xded,79.12
0xaac2,81.06
0x25cd,42.61
0x8d62,60.51
0x5278,83.23
0x58f1,74.82
0xb2e8,77.38
0x9d78,80.79
0x993e,64.43
0x3c27,75.67
0x8391,76.55
0xba8,58.92
0x2d9a,83.12
0xc5cf,85.07
0xbd85,80.59
0xb304,71.85
0x3871,42.94
0x9cbb,89.56
0xa48a,87.69
0xa07b,82.07
0xb761,70.53
0x6da8,80.12
0xa063,80.46
0x3a17,77.55
0xacfa,87.68
0xc8d,78.84
0xbfbb,89.55
0x244d,73.14
0x72cf,73.77
0xafa,78.11
0xc792,68.1
0x5332,34.85
0x702e,80.2
0x1955,47.53
0x8499,77.58
0x47dc,76.75
0x16c2,74.58
0x7c01,69.72
0x826,67.95
0x8ecf,78.92
0x5acb,80.94
0xa15e,89.13
0x3c29,78.83
0x36f8,85.85
0x3c8c,71.06
0x91d3,75.53
0x7b74,72.66
0x7ef0,92.88
0x4280,77.34
0x5e76,85.02
0x51fe,72.84
0x447e,63.43
0xab94,90.93
0x5e04,86.76
0x836e,92.35
0xc8c2,66.27
0x6548,78.33
0x12e5,72.69
0x5527,84.18
0x301e,78.25
0xa5ca,67.24
0x8533,75.4
0x862d,79.55
0x81d6,79.46
0xc853,72.01
0x6d11,80.81
0x5744,69.19
0xa5b3,81.82
0x4c72,77.33
0xa683,77.42
0x484c,72.93
0x9b26,83.63
0x826b,70.99
0x84e1,75.87
0x88f3,76.79
0x34f5,74.24
0x296c,36.24
0x2261,82.29
0x7077,86.52
0x2d30,74.07
0x7ae6,83.68
0xaa03,65.59
0x4a58,84.15
0xa4ce,75.41
0x149c,36.34
0x6b32,77.95
0x6453,76.04
0x7c3b,75.97
0x92e3,74.19
0x9df4,75.6
0x3bdb,56.19
0xc01b,77.87
0x69bc,77.1
0x799b,77.62
0xf1d,81.49
0x97b9,61.15
0xb865,71.99
0x6c00,80.67
0xb8de,60.37
0x400c,78.65
0xc49f,83.13
0x2dad,74.08
0x6d6f,72.64
0x1e91,91.86
0x1001,79.78
0x831b,77.39
0x6b9f,80.47
0x2d89,74.91
0x440d,79.36
0x625d,77.22
0x1a1f,65.14
0x9f73,81.38
0xaa43,75.45
0xa4fa,65.65
0xa0a7,58.25
0x253d,83.54
0x47a0,81.08
0x3444,75.85
0x536c,85.95
0x4c9d,75.03
0x8e9a,75.96
0x874e,88.42
0x8c7b,81.87
0x3c9d,79.99
0x8f3a,79.95
0x76eb,33.7
0x2c2d,77.22
0xbcb8,48.82
0x9f4c,90.67
0x1867,78.36
0x1725,79.68
0xb2bb,73.62
0x7e63,84.96
0x7f65,73.71
0xa4c1,69.09
0x778c,75.12
0x5b30,77.39
0x48d0,78.67
0xc907,87.92
0x10c4,85.01
0x3905,70.6
0x9bb9,87.88
0xaa2e,65.89
0x12d0,87.29
0x2c6a,84.45
0xb9bf,70.22
0x263a,67.26
0xaf6,81.65
0xbe7f,77.68
0x403e,80.11
0x3a85,77.06
0x8f16,24.95
0x17ff,81.04
0x6d23,75.24
0x753e,76.7
0x7224,37.96
0xc670,79.41
0x63cb,35.55
0x377d,70.11
0x6a6e,80.49
0xa0c4,83.34
0xfea,83.56
0xe46,38.64
0xab7a,93.29
0x9ef,73.25
0x3bd0,61.73
0x481a,69.25
0x9ea4,75.59
0x1a9d,79.78
0x44a0,81.03
0x2d7f,79.51
0x85aa,75.9
0x615a,39.51
0x86fc,73.28
0x6911,70.94
0x1bea,75.12
0xb08a,75.83
0x2187,66.57
0x4847,76.44
0x1280,77.37
0x9197,26.46
0xaba2,84.44
0xb134,76.11
0xa126,65.55
0x955b,81.04
0xc3c5,37.77
0x389a,70.47
0xc626,89.6
0x89a,69.89
0x45ea,81.17
0x11ee,69.03
0xfef,74.92
0x4b0f,55.88
0x41cb,81.98
0xbada,53.16
0x4546,78.79
0x26d7,73.45
0xc2f5,62.69
0xaaf,76.96
0x42a6,74.75
0x6f73,71.4
0x36e4,69.11
0xae08,73.31
0x247b,25.9
0x94e6,72.3
0x9f67,83.65
0x41bb,75.54
0x10ad,84.09
0x7c5c,76.33
0xa65a,67.0
0x7b30,87.48
0xaafe,67.54
0x5cca,47.88
0x984e,80.1
0x7ec0,52.29
0x158c,25.24
0x670e,81.67
0x3afd,73.54
0xae88,36.41
0x3ee5,78.66
0xc49d,83.3
0x13cb,26.73
0x21d5,79.1
0x4200,70.51
0x56c1,67.21
0x32e3,78.88
0x825b,74.35
0xa80e,82.98
0x4266,63.9
0x9474,72.06
0x5685,85.89
0x4c70,82.63
0xc17a,78.97
0x7b9f,82.83
0x8de1,77.01
0x202b,83.46
0xa9b3,79.88
0x6342,83.61
0x1e8e,73.92
0x37c9,46.15
0x737,54.01
0x8bd2,76.12
0x672d,74.91
0x456b,82.76
0x6844,76.48
0x8029,84.89
0xb562,75.68
0xc885,80.15
0x614e,18.86
0x1cc6,59.63
0x5eba,78.89
0xa2c8,76.3
0x3589,77.02
0x5f5d,81.26
0xd76,83.51
0x4982,75.63
0xc471,83.74
0x58cb,82.38
0x3c67,81.78
0x5dcd,59.34
0x6959,88.48
0x1f4a,74.86
0xb026,57.62
0x76ee,80.71
0xc868,76.22
0x32ee,87.46
0x9ad5,65.58
0x31aa,76.42
0x71f3,72.66
0x8df,69.8
0x9d54,75.49
0xc2d8,81.42
0x7e45,22.38
0x1ac1,88.39
0xab69,32.38
0x4771,77.91
0x9dde,91.43
0xb7a,75.4
0xa08d,75.33
0x3318,92.15
0x1c82,74.21
0x3896,64.62
0x1180,62.52
0xb2fc,77.32
0x341a,50.05
0x5408,84.66
0x93cc,73.88
0x1fc4,74.18
0x62a4,76.82
0x88e2,85.1
0x8666,84.21
0x5221,81.17
0x4721,87.67
0x2096,70.92
0x7799,78.69
0xbd6f,78.11
0x4b13,58.85
0x246c,66.84
0x206a,72.65
0x51cd,81.52
0x9513,81.27
0x6dde,80.92
0x6b63,48.85
0x38ad,94.07
0x8448,62.77
0x87e6,78.3
0xbbfd,50.35
0x13d9,70.47
0x9697,76.1
0xa1d9,72.57
0x479b,79.09
0xc247,72.0
0xaeff,78.04
0x1a00,64.22
0x6c7e,81.44
0x3e50,77.79
0xf8f,74.22
0x3093,72.74
0xaf54,69.03
0xb407,63.47
0x4f4a,82.43
0x2895,71.3
0xc7a5,78.79
0x1e56,53.5
0x7254,80.59
0xb6b1,77.14
0x5344,70.49
0xbe0f,82.16
0x19ac,85.85
0x6eac,77.59
0x6e2b,92.45
0x67fa,78.88
0xc90b,77.02
0x81fc,26.99
0x83f8,46.83
0xc596,75.6
0x72a4,26.95
0x2c53,78.33
0x6a24,77.13
0x2da5,84.31
0x30d5,76.66
0x92d5,83.31
0x6f0e,84.7
0x60fd,72.76
0x7438,74.69
0x648e,80.42
0xc39e,43.84
0x17b1,79.98
0xa92f,74.18
0x3d2a,72.69
0x34ff,79.33
0x81e,53.61
0xa162,52.22
0xac55,82.52
0x92c,64.7
0xa9a4,78.7
0x1641,77.33
0xb036,76.5
0x51f0,20.31
0x8411,84.39
0x1fcb,75.14
0x18eb,75.16
0x9f8,78.93
0x918d,76.87
0xb6a0,78.98
0x6b26,75.61
0xbffe,80.75
0x65f6,72.58
0x9ef3,82.21
0x1626,73.46
0x8c93,80.95
0xc87c,78.24
0x4c11,78.0
0x992c,77.15
0xc561,75.68
0x57c3,72.71
0x815c,72.68
0x5c42,80.85
0x1f0d,79.81
0x3803,74.44
0x56f9,72.82
0x7f91,52.97
0x1519,76.07
0x478e,81.37
0x63f6,75.25
0x8665,16.8
0x9fe3,81.98
0x9a91,79.74
0x7103,80.05
0xad4a,77.09
0x72a0,75.56
0x6182,85.52
0x18af,22.36
0xb3e9,46.55
0xaa1e,75.2
0x2d39,82.25
0xa289,88.74
0xc025,68.96
0x992b,75.43
0x5ae7,83.51
0xbae2,77.94
0x11f2,86.16
0x57f1,68.18
0x1ea9,82.67
0xb37e,81.81
0x2e45,73.09
0x8587,72.69
0xa0a0,76.28
0x3f94,80.94
0x76d9,75.76
0xc775,83.53
0x3051,78.45
0xa4ba,64.43
0x8065,79.9
0x195b,57.31
0xa1ad,80.41
0x3f55,73.49
0x9d0e,73.09
0x597e,71.11
0xb87b,90.0
0xab96,52.8
0x71b0,68.9
0x5bec,76.15
0x7b39,71.42
0xa2cc,80.51
0x3433,76.34
0x3be6,70.16
0xc2f2,84.5
0x6a7c,75.72
0x1e1e,81.95
0x9f92,71.81
0xc6d1,66.81
0xc490,77.9
0xb641,81.61
0xbb15,82.94
0xbde8,79.57
0xbe10,77.37
0x7a7d,74.82
0x7c29,86.68
0x5021,80.36
0x7cf8,38.0
0x1c07,76.26
0x13f8,73.17
0x8ac9,80.04
0x9aab,80.3
0xa51e,73.85
0x15d8,72.04
0xc20a,71.89
0xa6b3,76.86
0x9e62,80.24
0x1e89,75.01
0x89c3,77.51
0x79a0,67.55
0xc1fe,69.9
0x2801,85.69
0xd79,85.11
0xac99,79.74
0x9e7,74.8
0xaf83,80.33
0x1da7,78.63
0xb6e4,71.62
0x291e,72.13
0x5e22,78.99
0x571d,63.27
0xa9d4,76.37
0x97aa,81.3
0x8154,75.37
0x456a,80.43
0x831f,66.24
0x805d,73.78
0xc329,81.43
0x622a,84.84
0x8466,78.22
0x1c0c,53.85
0x9c5e,65.73
0x95c4,95.1
0x4295,74.45
0x780f,81.19
0x51a4,72.1
0xac97,81.13
0x3880,64.95
0xbe6c,66.56
0x973a,78.94
0xc0b7,81.02
0x8fef,91.55
0xa755,70.04
0x14ae,79.48
0x2c51,76.97
0x5d1d,52.47
0x8fcb,80.25
0xc4c,74.68
0xa750,72.72
0x29e0,74.58
0x74e7,65.83
0xb1b3,82.19
0xa5c4,83.45
0x52af,78.03
0x1895,71.87
0x2f93,70.57
0x4700,75.7
0x8dd6,79.87
0xa43c,78.19
0x5a29,78.55
0xa017,82.92
0x4e75,80.85
0xbc30,88.98
0x93b3,83.13
0x2642,67.65
0x6391,81.08
0xbaac,78.27
0x54c3,80.42
0x4ad5,89.52
0x37d8,80.98
0xc3ca,89.3
0xc743,79.45
0x48d4,81.39
0x8c6e,81.29
0x576c,56.25
0xa8b1,73.61
0x1c57,40.9
0x1cfa,80.8
0x5129,66.82
0x17b8,35.29
0x5b34,77.87
0x1c1c,90.89
0x988f,76.11
0xbcdc,81.24
0x4326,51.71
0x9257,74.83
0xae00,80.09
0x47df,48.93
0x2e2c,59.98
0x6347,80.13
0x5b09,39.24
0xb9bb,73.83
0x4d33,69.42
0x67c6,71.9
0x2f98,83.76
0x62a8,92.07
0xc53c,80.83
0x652,63.63
0x6f55,80.12
0x40c3,65.23
0x9bfb,77.15
0xaa6,75.84
0x810e,33.25
0xb6bd,84.86
0x1978,43.99
0x2447,76.74
0xc2f4,62.99
0x2f26,88.49
0x932,80.44
0x7b6d,55.66
0x233a,74.61
0x6852,85.9
0xa1f2,62.69
0xabcd,86.89
0xb5c8,72.83
0x8c9d,54.22
0xb74,65.42
0x182c,78.52
0xb3a1,33.63
0x84fd,67.99
0x94a5,89.07
0x8008,54.37
0xb0c1,79.77
0x51ce,81.46
0x689a,80.3
0xa030,77.16
0x2b7f,81.85
0x95d2,66.96
0x706a,81.72
0x66f2,91.15
0x4f76,61.43
0x2203,62.13
0x3080,77.38
0x90f6,84.67
0x3d3a,69.95
0x3475,79.92
0x571a,77.43
0x9e49,81.21
0xa0e,91.63
0x50f4,83.23
0xbceb,78.15
0x674a,82.17
0x4f65,63.37
0x778b,70.36
0x6c25,71.54
0x68b7,79.57
0xc48f,71.53
0x2db7,76.23
0xa47c,83.09
0x178f,79.32
0x96a,80.47
0x5f60,37.16
0x8139,47.75
0x8c4,77.43
0x86c9,70.76
0xc7c5,90.4
0x8381,75.37
0x5d45,80.57
0x4891,80.68
0x4ac0,79.85
0x61cc,75.19
0x95fa,84.81
0x5838,80.46
0x2fbb,74.36
0x284d,79.24
0x2b14,81.24
0xb2b3,83.96
0x4b34,78.0
0x6bcd,72.37
0xbb7c,89.25
0x7913,79.67
0x1d1f,77.48
0x694c,78.34
0x95fc,84.55
0x6675,75.72
0x3078,71.57
0x204d,79.05
0x24d9,82.3
0x59fb,74.53
0x3fc8,76.11
0x541c,45.96
0x36cd,81.96
0x7520,79.54
0x9503,76.92
0xb02d,71.83
0xa207,72.64
0x97e9,76.41
0x4fcc,68.7
0x977,80.21
0xa650,87.81
0x3628,74.61
0xbb9a,71.31
0x6d22,77.12
0xae26,75.49
0x3b3e,70.53
0x9c30,80.52
0xa3e9,76.34
0x1ac5,71.43
0x9ba4,77.22
0xb89f,77.07
0x2986,72.57
0xe89,80.55
0xae36,71.59
0x5d54,80.33
0x9e5c,73.66
0x18d2,77.46
0x763d,74.8
0xc272,66.98
0x1781,81.16
0xab8e,83.36
0xb4f9,75.66
0x323c,80.61
0x6941,67.06
0xe68,69.98
0x1ba9,74.67
0x7d87,74.84
0xb81b,59.61
0x10d3,79.96
0x80f6,63.54
0x820,82.66
0x27fa,77.23
0x483c,75.52
0xcad,76.83
0xac43,50.28
0x6991,69.67
0x49ed,72.99
0x6320,77.36
0x309d,71.24
0x3161,77.01
0xbbb,84.08
0x10fc,79.14
0x3915,73.36
0x164a,76.78
0x942a,76.48
0x300c,80.17
0x1763,84.12
0xa9c,70.47
0x8000,82.94
0x2743,56.68
0x7280,84.89
0x2a2a,57.46
0xa613,43.03
0x823c,74.21
0x3413,75.46
0xa336,50.74
0x45b7,66.65
0x31f1,64.97
0x7f97,79.04
0xb9eb,72.57
0x1cd6,78.38
0x11c2,71.75
0x3ad3,75.1
0x4b77,71.7
0x9889,77.2
0x4186,74.11
0xafc1,83.9
0x8755,66.79
0xbf44,77.56
0x84d0,72.12
0x7742,61.45
0xb0ca,80.97
0x3ad7,72.37
0x95eb,81.17
0x6f32,66.73
0x2b3b,73.45
0x9a66,79.29
0xa57c,72.97
0x89ba,78.44
0x880f,71.3
0x227b,54.38
0x64cc,73.61
0xb4eb,47.67
0x8736,55.01
0x2e99,47.23
0x2993,76.28
0x1d56,68.8
0x4b6f,47.81
0x7f8e,67.65
0xbf3f,89.26
0x18fb,62.85
0x9c6f,77.61
0x1985,71.81
0x709b,70.79
0xc193,29.42
0x7342,68.5
0x3e9a,34.07
0x35fd,37.13
0x201a,69.9
0xc4a4,78.82
0xce4,67.23
0x2052,77.17
0xaade,81.03
0x7843,75.69
0x3d87,88.02
0xc71e,68.06
0x9ba,68.22
0xa5a3,48.08
0xb1e,76.06
0xc24f,76.41
0x8a83,66.4
0x3014,77.57
0x5e2e,88.02
0x21c4,81.84
0x2fc2,83.73
0x8fab,80.61
0xbe6e,79.97
0x9c13,82.95
0x8a9f,77.13
0x8585,74.52
0x626b,76.48
0x6062,83.21
0x8f88,59.0
0x4126,88.56
0xbc78,37.44
0x8b7b,32.89
0x2417,83.63
0xbc2c,73.21
0xa357,90.64
0x8a5b,47.37
0x5739,78.2
0x34c5,75.09
0xf42,70.74
0x3a75,68.01
0x317f,68.33
0x78c7,77.68
0xbe7e,73.46
0x319b,84.53
0x3679,77.06
0x8702,82.43
0x27dd,80.28
0x91ad,77.17
0x932f,84.2
0x516e,80.35
0x501c,80.62
0x7b1b,72.81
0x6259,83.98
0x3c4e,77.22
0x25aa,80.3
0xb144,55.23
0x5751,91.16
0xc09b,74.5
0x182d,72.86
0xb298,83.0
0xc7dd,84.15
0xc04a,53.83
0x387f,80.07
0x126a,36.84
0x97a,75.82
0xbf48,69.73
0x6da,64.25
0x2cca,78.08
0x485c,70.13
0x23a4,63.9
0x215c,39.1
0x54c7,81.69
0x6cde,81.24
0x3762,72.57
0x804b,46.84
0x2171,71.37
0x7ce2,73.07
0x3d71,70.12
0xdb6,67.38
0x21c3,82.51
0xb270,77.87
0xbaca,73.86
0x549d,80.66
0x9e75,86.23
0x3851,77.08
0x14a3,86.11
0x5b54,73.08
0x1d73,78.7
0x9e87,50.98
0xe52,76.2
0x9092,76.02
0x7fa9,73.0
0xa762,80.16
0x20fa,81.19
0xbf84,79.4
0x12ac,90.69
0xa658,79.88
0x833e,75.17
0x49ea,77.66
0x1719,79.47
0x6211,46.45
0xc789,81.51
0x4951,71.49
0x45c2,80.62
0x78c1,73.96
0x50cc,31.73
0x2a0a,76.84
0x4f68,60.4
0xa3ca,66.21
0xb358,74.5
0x278f,70.11
0x8b44,80.64
0xba8f,81.38
0x2a3d,77.79
0x2d53,75.33
0x3d59,80.02
0x2522,80.73
0x3868,77.68
0x8f1a,90.9
0x33f0,79.98
0xc3de,76.1
0x2585,78.6
0xb649,83.17
0x1cd9,80.77
0xbe2b,88.44
0x7759,71.93
0xbc85,82.7
0x8eb1,76.78
0x95d5,76.61
0x8c5c,71.36
0xa777,81.69
0x9f6,77.27
0x5735,75.95
0x63df,70.85
0x1b4d,70.89
0x2f42,82.87
0x108b,83.45
0xb0ff,88.28
0x8130,73.02
0x8a6,79.67
0xbc61,82.0
0x78dd,77.55
0x4574,81.11
0x26a5,80.91
0x9f88,76.26
0xc108,41.43
0x9e2a,75.43
0x8d2b,82.99
0x69f0,70.65
0x3644,77.78
0x8259,69.84
0x3f99,87.71
0x6fe7,76.62
0xa174,80.39
0x2db5,79.89
0x6c61,75.08
0x4887,79.4
0x2122,77.44
0x5469,64.17
0xb10a,79.37
0x8db4,78.21
0x4eff,86.24
0xc6a2,86.08
0xbe1d,81.94
0x1f4b,67.79
0x4339,81.43
0x5b44,71.4
0xa9f9,73.38
0xc0ea,61.82
0x375a,80.48
0x7c24,82.45
0x6be,73.16
0x7ab3,73.66
0x552e,73.87
0x9ddf,85.23
0x8620,82.94
0xbb66,73.22
0x5d4c,71.26
0xbd38,89.7
0x924e,29.26
0xab66,84.09
0x37ee,72.52
0x6db1,67.16
0xbd31,77.63
0xe4b,79.87
0xa8b6,73.52
0xe94,70.36
0xb4ae,82.26
0x6a7,82.69
0x1088,70.47
0x5499,81.33
0x7437,79.87
0x3d02,85.54
0x3033,66.68
0xb809,80.6
0x1a5e,90.62
0x5231,75.84
0x625e,86.74
0x9f1,81.63
0xc26,77.5
0x23fb,79.82
0xb5c0,80.44
0x82e3,73.63
0x72e2,75.76
0x79f3,69.87
0x5580,68.29
0x219b,82.79
0x5f25,83.98
0x88f1,88.29
0x3ef8,81.41
0x9f44,55.36
0xb606,78.98
0xc469,78.77
0x9100,80.31
0xbbd,73.07
0x6be5,68.52
0x52ca,81.07
0x7e26,67.04
0x68f9,83.75
0x21cf,85.9
0x199e,87.36
0x941,78.66
0x4d27,72.94
0xb9a6,43.05
0x8749,81.01
